Temperature,Flow velocity,CO2 pressure,Internal pressure,Corrosion Inhibitor efficiency,Shear stress,pH,Corrosion rate
30,1.2,1,60,40,3,4,3.2
30,1.2,1,60,50,3,4,2.6
30,1.2,1,60,60,3,4,2.1
30,1.2,1,65,40,3,4,3.1
30,1.2,1,65,50,3,4,2.6
30,1.2,1,65,60,3,4,2.1
30,1.2,1,70,40,3,4,3.1
30,1.2,1,70,50,3,4,2.6
30,1.2,1,70,60,3,4,2.1
30,1.2,1.5,60,40,3,3.9,4.1
30,1.2,1.5,60,50,3,3.9,3.4
30,1.2,1.5,60,60,3,3.9,2.7
30,1.2,1.5,65,40,3,3.9,4.1
30,1.2,1.5,65,50,3,3.9,3.4
30,1.2,1.5,65,60,3,3.9,2.7
30,1.2,1.5,70,40,3,3.9,4
30,1.2,1.5,70,50,3,3.9,3.4
30,1.2,1.5,70,60,3,3.9,2.7
30,1.2,2,60,40,3,3.8,5
30,1.2,2,60,50,3,3.8,4.1
30,1.2,2,60,60,3,3.8,3.3
30,1.2,2,65,40,3,3.8,4.9
30,1.2,2,65,50,3,3.8,4.1
30,1.2,2,65,60,3,3.8,3.3
30,1.2,2,70,40,3,3.8,4.9
30,1.2,2,70,50,3,3.8,4.1
30,1.2,2,70,60,3,3.8,3.2
30,1.5,1,60,40,4,4,3.3
30,1.5,1,60,50,4,4,2.8
30,1.5,1,60,60,4,4,2.2
30,1.5,1,65,40,4,4,3.3
30,1.5,1,65,50,4,4,2.7
30,1.5,1,65,60,4,4,2.2
30,1.5,1,70,40,4,4,3.2
30,1.5,1,70,50,4,4,2.7
30,1.5,1,70,60,4,4,2.2
30,1.5,1.5,60,40,4,3.9,4.3
30,1.5,1.5,60,50,4,3.9,3.6
30,1.5,1.5,60,60,4,3.9,2.9
30,1.5,1.5,65,40,4,3.9,4.2
30,1.5,1.5,65,50,4,3.9,3.5
30,1.5,1.5,65,60,4,3.9,2.8
30,1.5,1.5,70,40,4,3.9,4.2
30,1.5,1.5,70,50,4,3.9,3.5
30,1.5,1.5,70,60,4,3.9,2.8
30,1.5,2,60,40,4,3.8,5.2
30,1.5,2,60,50,4,3.8,4.3
30,1.5,2,60,60,4,3.8,3.5
30,1.5,2,65,40,4,3.8,5.1
30,1.5,2,65,50,4,3.8,4.3
30,1.5,2,65,60,4,3.8,3.4
30,1.5,2,70,40,4,3.8,5.1
30,1.5,2,70,50,4,3.8,4.2
30,1.5,2,70,60,4,3.8,3.4
30,1.8,1,60,40,5,4,3.4
30,1.8,1,60,50,5,4,2.8
30,1.8,1,60,60,5,4,2.3
30,1.8,1,65,40,5,4,3.4
30,1.8,1,65,50,5,4,2.8
30,1.8,1,65,60,5,4,2.2
30,1.8,1,70,40,5,4,3.3
30,1.8,1,70,50,5,4,2.8
30,1.8,1,70,60,5,4,2.2
30,1.8,1.5,60,40,5,3.9,4.4
30,1.8,1.5,60,50,5,3.9,3.7
30,1.8,1.5,60,60,5,3.9,3
30,1.8,1.5,65,40,5,3.9,4.4
30,1.8,1.5,65,50,5,3.9,3.7
30,1.8,1.5,65,60,5,3.9,2.9
30,1.8,1.5,70,40,5,3.9,4.3
30,1.8,1.5,70,50,5,3.9,3.6
30,1.8,1.5,70,60,5,3.9,2.9
30,1.8,2,60,40,5,3.8,5.4
30,1.8,2,60,50,5,3.8,4.5
30,1.8,2,60,60,5,3.8,3.6
30,1.8,2,65,40,5,3.8,5.3
30,1.8,2,65,50,5,3.8,4.4
30,1.8,2,65,60,5,3.8,3.5
30,1.8,2,70,40,5,3.8,5.3
30,1.8,2,70,50,5,3.8,4.4
30,1.8,2,70,60,5,3.8,3.5
40,1.2,1,60,40,3,4,4.2
40,1.2,1,60,50,3,4,3.5
40,1.2,1,60,60,3,4,2.8
40,1.2,1,65,40,3,4,4.1
40,1.2,1,65,50,3,4,3.5
40,1.2,1,65,60,3,4,2.8
40,1.2,1,70,40,3,4,4.1
40,1.2,1,70,50,3,4,3.4
40,1.2,1,70,60,3,4,2.7
40,1.2,1.5,60,40,3,3.9,5.4
40,1.2,1.5,60,50,3,3.9,4.5
40,1.2,1.5,60,60,3,3.9,3.6
40,1.2,1.5,65,40,3,3.9,5.4
40,1.2,1.5,65,50,3,3.9,4.5
40,1.2,1.5,65,60,3,3.9,3.6
40,1.2,1.5,70,40,3,3.9,5.3
40,1.2,1.5,70,50,3,3.9,4.4
40,1.2,1.5,70,60,3,3.9,3.6
40,1.2,2,60,40,3,3.8,6.6
40,1.2,2,60,50,3,3.8,5.5
40,1.2,2,60,60,3,3.8,4.4
40,1.2,2,65,40,3,3.9,6.4
40,1.2,2,65,50,3,3.9,5.3
40,1.2,2,65,60,3,3.9,4.3
40,1.2,2,70,40,3,3.9,6.3
40,1.2,2,70,50,3,3.9,5.3
40,1.2,2,70,60,3,3.9,4.2
40,1.5,1,60,40,4,4,4.4
40,1.5,1,60,50,4,4,3.6
40,1.5,1,60,60,4,4,2.9
40,1.5,1,65,40,4,4,4.3
40,1.5,1,65,50,4,4,3.6
40,1.5,1,65,60,4,4,2.9
40,1.5,1,70,40,4,4,4.3
40,1.5,1,70,50,4,4,3.6
40,1.5,1,70,60,4,4,2.9
40,1.5,1.5,60,40,4,3.9,5.7
40,1.5,1.5,60,50,4,3.9,4.7
40,1.5,1.5,60,60,4,3.9,3.8
40,1.5,1.5,65,40,4,3.9,5.6
40,1.5,1.5,65,50,4,3.9,4.7
40,1.5,1.5,65,60,4,3.9,3.7
40,1.5,1.5,70,40,4,3.9,5.6
40,1.5,1.5,70,50,4,3.9,4.6
40,1.5,1.5,70,60,4,3.9,3.7
40,1.5,2,60,40,4,3.8,6.9
40,1.5,2,60,50,4,3.8,5.7
40,1.5,2,60,60,4,3.8,4.6
40,1.5,2,65,40,4,3.9,6.7
40,1.5,2,65,50,4,3.9,5.6
40,1.5,2,65,60,4,3.9,4.4
40,1.5,2,70,40,4,3.9,6.6
40,1.5,2,70,50,4,3.9,5.5
40,1.5,2,70,60,4,3.9,4.4
40,1.8,1,60,40,5,4,4.5
40,1.8,1,60,50,5,4,3.7
40,1.8,1,60,60,5,4,3
40,1.8,1,65,40,5,4,4.5
40,1.8,1,65,50,5,4,3.7
40,1.8,1,65,60,5,4,3
40,1.8,1,70,40,5,4,4.4
40,1.8,1,70,50,5,4,3.7
40,1.8,1,70,60,5,4,2.9
40,1.8,1.5,60,40,5,3.9,5.9
40,1.8,1.5,60,50,5,3.9,4.9
40,1.8,1.5,60,60,5,3.9,3.9
40,1.8,1.5,65,40,5,3.9,5.8
40,1.8,1.5,65,50,5,3.9,4.8
40,1.8,1.5,65,60,5,3.9,3.9
40,1.8,1.5,70,40,5,3.9,5.7
40,1.8,1.5,70,50,5,3.9,4.8
40,1.8,1.5,70,60,5,3.9,3.8
40,1.8,2,60,40,5,3.8,7.1
40,1.8,2,60,50,5,3.8,5.9
40,1.8,2,60,60,5,3.8,4.7
40,1.8,2,65,40,5,3.9,6.9
40,1.8,2,65,50,5,3.9,5.7
40,1.8,2,65,60,5,3.9,4.6
40,1.8,2,70,40,5,3.9,6.8
40,1.8,2,70,50,5,3.9,5.7
40,1.8,2,70,60,5,3.9,4.6
50,1.2,1,60,40,3,4,4.6
50,1.2,1,60,50,3,4,3.8
50,1.2,1,60,60,3,4,3
50,1.2,1,65,40,3,4,4.5
50,1.2,1,65,50,3,4,3.8
50,1.2,1,65,60,3,4,3
50,1.2,1,70,40,3,4,4.5
50,1.2,1,70,50,3,4,3.7
50,1.2,1,70,60,3,4,3
50,1.2,1.5,60,40,3,3.9,5.9
50,1.2,1.5,60,50,3,3.9,4.9
50,1.2,1.5,60,60,3,3.9,3.9
50,1.2,1.5,65,40,3,3.9,5.9
50,1.2,1.5,65,50,3,3.9,4.9
50,1.2,1.5,65,60,3,3.9,3.9
50,1.2,1.5,70,40,3,3.9,5.8
50,1.2,1.5,70,50,3,3.9,4.9
50,1.2,1.5,70,60,3,3.9,3.9
50,1.2,2,60,40,3,3.9,7
50,1.2,2,60,50,3,3.9,5.9
50,1.2,2,60,60,3,3.9,4.7
50,1.2,2,65,40,3,3.9,7
50,1.2,2,65,50,3,3.9,5.8
50,1.2,2,65,60,3,3.9,4.6
50,1.2,2,70,40,3,3.9,6.9
50,1.2,2,70,50,3,3.9,5.8
50,1.2,2,70,60,3,3.9,4.6
50,1.5,1,60,40,4,4,4.8
50,1.5,1,60,50,4,4,4
50,1.5,1,60,60,4,4,3.2
50,1.5,1,65,40,4,4,4.7
50,1.5,1,65,50,4,4,3.9
50,1.5,1,65,60,4,4,3.1
50,1.5,1,70,40,4,4,4.7
50,1.5,1,70,50,4,4,3.9
50,1.5,1,70,60,4,4,3.1
50,1.5,1.5,60,40,4,3.9,6.2
50,1.5,1.5,60,50,4,3.9,5.2
50,1.5,1.5,60,60,4,3.9,4.1
50,1.5,1.5,65,40,4,3.9,6.1
50,1.5,1.5,65,50,4,3.9,5.1
50,1.5,1.5,65,60,4,3.9,4.1
50,1.5,1.5,70,40,4,3.9,6.1
50,1.5,1.5,70,50,4,3.9,5.1
50,1.5,1.5,70,60,4,3.9,4.1
50,1.5,2,60,40,4,3.9,7.3
50,1.5,2,60,50,4,3.9,6.1
50,1.5,2,60,60,4,3.9,4.9
50,1.5,2,65,40,4,3.9,7.3
50,1.5,2,65,50,4,3.9,6.1
50,1.5,2,65,60,4,3.9,4.9
50,1.5,2,70,40,4,3.9,7.2
50,1.5,2,70,50,4,3.9,6
50,1.5,2,70,60,4,3.9,4.8
50,1.8,1,60,40,5,4,4.9
50,1.8,1,60,50,5,4,4.1
50,1.8,1,60,60,5,4,3.3
50,1.8,1,65,40,5,4,4.9
50,1.8,1,65,50,5,4,4.1
50,1.8,1,65,60,5,4,3.3
50,1.8,1,70,40,5,4,4.8
50,1.8,1,70,50,5,4,4
50,1.8,1,70,60,5,4,3.2
50,1.8,1.5,60,40,5,3.9,6.4
50,1.8,1.5,60,50,5,3.9,5.3
50,1.8,1.5,60,60,5,3.9,4.3
50,1.8,1.5,65,40,5,3.9,6.3
50,1.8,1.5,65,50,5,3.9,5.3
50,1.8,1.5,65,60,5,3.9,4.2
50,1.8,1.5,70,40,5,3.9,6.3
50,1.8,1.5,70,50,5,3.9,5.2
50,1.8,1.5,70,60,5,3.9,4.2
50,1.8,2,60,40,5,3.9,7.6
50,1.8,2,60,50,5,3.9,6.3
50,1.8,2,60,60,5,3.9,5.1
50,1.8,2,65,40,5,3.9,7.5
50,1.8,2,65,50,5,3.9,6.3
50,1.8,2,65,60,5,3.9,5
50,1.8,2,70,40,5,3.9,7.5
50,1.8,2,70,50,5,3.9,6.2
50,1.8,2,70,60,5,3.9,5
